motif_type,intensity,binary_count,intensity_random_mean,intensity_random_std,intensity_z_score
021D++,0.0,0,0.0,1.2000000000000002,0.0
021D+-,0.0,0,0.0,1.2000000000000002,0.0
021D--,0.0,0,0.0,1.2000000000000002,0.0
021U++,0.0,0,0.0,1.2000000000000002,0.0
021U+-,0.0,0,0.0,1.2000000000000002,0.0
021U--,0.0,0,0.0,1.2000000000000002,0.0
021C++,0.0,0,0.0,1.2000000000000002,0.0
021C+-,0.0,0,0.0,1.2000000000000002,0.0
021C-+,0.0,0,0.0,1.2000000000000002,0.0
021C--,0.0,0,0.0,1.2000000000000002,0.0
111D+++,0.0,0,0.0,1.2000000000000002,0.0
111D++-,0.0,0,0.0,1.2000000000000002,0.0
111D+-+,0.0,0,0.0,1.2000000000000002,0.0
111D+--,0.0,0,0.0,1.2000000000000002,0.0
111D-++,0.0,0,0.0,1.2000000000000002,0.0
111D-+-,0.0,0,0.0,1.2000000000000002,0.0
111D--+,0.0,0,0.0,1.2000000000000002,0.0
111D---,0.0,0,0.0,1.2000000000000002,0.0
111U+++,0.0,0,0.0,1.2000000000000002,0.0
111U++-,0.0,0,0.0,1.2000000000000002,0.0
111U+-+,0.0,0,0.0,1.2000000000000002,0.0
111U+--,0.0,0,0.0,1.2000000000000002,0.0
111U-++,0.0,0,0.0,1.2000000000000002,0.0
111U-+-,0.0,0,0.0,1.2000000000000002,0.0
111U--+,0.0,0,0.0,1.2000000000000002,0.0
111U---,0.0,0,0.0,1.2000000000000002,0.0
030T+++,0.0,0,0.0,1.2000000000000002,0.0
030T++-,0.0,0,0.0,1.2000000000000002,0.0
030T+-+,0.0,0,0.0,1.2000000000000002,0.0
030T+--,0.0,0,0.0,1.2000000000000002,0.0
030T-++,0.0,0,0.0,1.2000000000000002,0.0
030T-+-,0.0,0,0.0,1.2000000000000002,0.0
030T--+,0.0,0,0.0,1.2000000000000002,0.0
030T---,0.0,0,0.0,1.2000000000000002,0.0
030C+++,0.0,0,0.0,1.2000000000000002,0.0
030C++-,0.0,0,0.0,1.2000000000000002,0.0
030C+--,0.0,0,0.0,1.2000000000000002,0.0
030C---,0.0,0,0.0,1.2000000000000002,0.0
201++++,0.0,0,0.0,1.2000000000000002,0.0
201+++-,0.0,0,0.0,1.2000000000000002,0.0
201++-+,0.0,0,0.0,1.2000000000000002,0.0
